,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Srednekolymsk,RU,67.45,153.6833,31.87,64,95,15.57,overcast clouds
272,Riyadh,SA,24.6877,46.7219,80.74,17,0,8.23,clear sky
273,Poum,NC,-20.2333,164.0167,72.52,65,89,19.71,overcast clouds
274,Nizwa,OM,22.9333,57.5333,79.7,66,3,0.13,clear sky
275,Qui Nhon,VN,13.7667,109.2333,76.91,86,100,6.44,overcast clouds
276,Adrar,MR,20.5022,-10.0711,92.86,23,6,14.5,clear sky
277,Bonthe,SL,7.5264,-12.505,78.08,86,100,5.23,overcast clouds
278,Cawayan,PH,9.9718,122.6249,77.63,85,89,3.65,overcast clouds
279,Tiznit,MA,29.5833,-9.5,64.49,75,15,3.11,few clouds
280,Cidreira,BR,-30.1811,-50.2056,66.42,98,75,3.83,broken clouds
281,Saint George,US,37.1041,-113.5841,88.27,14,1,0.0,clear sky
282,Lavrentiya,RU,65.5833,-171.0,35.69,62,13,7.65,few clouds
283,Comodoro Rivadavia,AR,-45.8667,-67.5,57.43,40,1,7.43,clear sky
284,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,77,3,10.25,clear sky
285,Bonavista,CA,48.6499,-53.1147,46.63,69,57,22.77,broken clouds
286,Barao De Melgaco,BR,-16.1944,-55.9675,97.32,15,4,1.52,clear sky
287,Pangnirtung,CA,66.1451,-65.7125,32.0,68,82,3.15,broken clouds
288,Severo-Kurilsk,RU,50.6789,156.125,49.57,77,38,30.0,light rain
289,Aykhal,RU,66.0,111.5,34.7,73,100,7.92,overcast clouds
290,Gigmoto,PH,13.7796,124.39,81.82,82,93,6.04,overcast clouds
291,Sibolga,ID,1.7427,98.7792,75.51,83,99,3.42,overcast clouds
292,Weligama,LK,5.9667,80.4167,77.83,88,83,7.92,broken clouds
293,Cherskiy,RU,68.75,161.3,30.25,60,89,5.93,overcast clouds
294,Belaya Gora,RU,68.5333,146.4167,29.91,65,74,10.22,broken clouds
295,Clyde River,CA,70.4692,-68.5914,29.77,73,50,6.49,scattered clouds
296,Ust-Tsilma,RU,65.441,52.1498,33.62,92,98,4.54,overcast clouds
297,Victoria,HK,22.2855,114.1577,84.18,81,34,2.91,scattered clouds
298,Liverpool,GB,53.4106,-2.9779,58.95,94,40,4.61,scattered clouds
299,Kungurtug,RU,50.5994,97.5228,33.46,87,80,1.72,broken clouds
300,Qaqortoq,GL,60.7167,-46.0333,37.9,67,0,6.26,clear sky
301,Sur,OM,22.5667,59.5289,84.33,67,1,9.51,clear sky
302,Dunedin,NZ,-45.8742,170.5036,55.83,64,100,9.19,overcast clouds
303,Xichang,CN,27.8964,102.2634,58.82,86,2,1.95,clear sky
304,Pitrufquen,CL,-38.9833,-72.65,57.22,58,0,5.75,clear sky
305,Belmonte,BR,-15.8631,-38.8828,75.7,86,64,6.44,broken clouds
306,Mosetse,BW,-20.75,26.65,76.17,23,2,9.91,clear sky
307,Arlit,NE,18.7369,7.3853,91.85,10,1,10.47,clear sky
308,Belyy Yar,RU,53.6039,91.3903,42.69,70,0,13.42,clear sky
309,Dangara,IN,29.6799,75.8931,80.58,77,2,5.68,clear sky
310,Fairbanks,US,64.8378,-147.7164,32.34,57,100,5.48,overcast clouds
311,Hammerfest,NO,70.6634,23.6821,43.25,61,0,14.97,clear sky
312,Strezhevoy,RU,60.7333,77.5889,33.78,79,100,11.45,overcast clouds
313,Kisangani,CD,0.5167,25.2,72.59,90,55,2.17,broken clouds
314,Socorro,US,31.6546,-106.3033,94.21,16,40,11.5,scattered clouds
315,Yulara,AU,-25.2406,130.9889,53.44,40,2,21.85,clear sky
316,Brewster,US,41.3973,-73.6171,70.14,68,1,4.61,clear sky
317,Tessalit,ML,20.1986,1.0114,91.13,10,0,8.84,clear sky
318,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,52.39,62,75,11.18,broken clouds
319,Tuatapere,NZ,-46.1333,167.6833,48.7,85,100,4.23,overcast clouds
320,New Norfolk,AU,-42.7826,147.0587,47.7,71,73,6.42,broken clouds
321,Caninde,BR,-4.3589,-39.3117,79.43,57,33,3.78,scattered clouds
322,Avera,US,33.194,-82.5271,76.51,97,100,10.71,overcast clouds
323,Sakaiminato,JP,35.55,133.2333,73.33,77,0,9.98,clear sky
324,Tura,IN,25.5198,90.2201,70.66,98,40,4.18,scattered clouds
325,Kabanjahe,ID,3.1001,98.4908,61.56,96,88,3.94,overcast clouds
326,Pervomayskiy,RU,53.2485,40.2871,45.48,89,100,13.73,light rain
327,Elmont,US,40.7009,-73.7129,71.4,55,40,10.36,scattered clouds
328,Constitucion,CL,-35.3333,-72.4167,52.41,76,0,12.26,clear sky
329,Xining,CN,36.6167,101.7667,46.17,41,0,2.46,clear sky
330,Rancho Palos Verdes,US,33.7445,-118.387,93.18,73,0,6.04,clear sky
331,Williamsport,US,41.2412,-77.0011,71.62,56,1,6.91,clear sky
332,Nanortalik,GL,60.1432,-45.2371,37.54,70,2,10.96,clear sky
333,Porbandar,IN,21.6422,69.6093,81.03,88,98,14.36,overcast clouds
334,Kathmandu,NP,27.7167,85.3167,68.22,100,75,2.3,broken clouds
335,Afua,BR,-0.1567,-50.3867,78.35,84,83,6.78,broken clouds
336,Chuguyevka,RU,44.1653,133.8633,56.86,89,100,2.68,light rain
337,Roald,NO,62.5833,6.1333,53.74,82,100,19.57,moderate rain
338,Te Anau,NZ,-45.4167,167.7167,44.91,96,100,3.42,heavy intensity rain
339,Benguela,AO,-12.5763,13.4055,71.51,83,78,5.37,broken clouds
340,Pinotepa Nacional,MX,16.3167,-98.0167,80.85,79,87,4.03,overcast clouds
341,Vypolzovo,RU,57.8767,33.6986,37.99,92,100,11.39,light rain
342,Tagusao,PH,9.1924,117.8141,79.72,76,80,3.87,broken clouds
343,Sabha,LY,27.0377,14.4283,82.74,19,0,11.25,clear sky
344,Sumbe,AO,-11.2061,13.8437,71.26,88,49,6.06,scattered clouds
345,Rodrigues Alves,BR,-7.738,-72.6509,79.09,70,58,2.98,broken clouds
346,Sovetskaya,RU,44.7769,41.1722,59.32,73,9,5.88,clear sky
347,Puerto Escondido,MX,15.85,-97.0667,85.03,58,75,0.0,broken clouds
348,Yerbogachen,RU,61.2767,108.0108,45.16,92,100,4.94,overcast clouds
349,Srandakan,ID,-7.9386,110.2506,74.98,88,89,2.42,overcast clouds
350,Qingquan,CN,30.4511,115.2559,68.74,88,0,2.39,clear sky
351,Seydi,TM,39.4816,62.9137,64.78,14,0,10.49,clear sky
352,Gushikawa,JP,26.3544,127.8686,81.63,68,14,3.02,few clouds
353,Sitka,US,57.0531,-135.33,57.09,82,90,14.97,light rain
354,Ous,RU,60.9058,61.5186,31.57,85,64,2.86,broken clouds
355,Buraydah,SA,26.326,43.975,80.13,16,0,5.53,clear sky
356,Anchorage,US,61.2181,-149.9003,52.25,71,100,14.07,overcast clouds
357,Ballina,AU,-28.8667,153.5667,64.09,71,58,16.26,broken clouds
358,Sliven,BG,42.6858,26.3292,62.1,78,66,8.55,broken clouds
359,Kemptville,CA,45.0168,-75.641,70.39,55,98,7.05,overcast clouds
360,Horta,PT,38.5333,-28.6333,69.85,72,6,11.54,clear sky
361,Nalut,LY,30.3333,10.85,82.76,18,0,6.91,clear sky
362,Codrington,AU,-38.2667,141.9667,51.15,61,92,17.36,overcast clouds
363,Sokoni,TZ,-6.4333,39.55,76.05,78,1,11.32,clear sky
364,Rorvik,NO,64.8621,11.2373,48.78,68,100,32.1,overcast clouds
365,Sola,VU,-13.8833,167.55,77.94,73,86,20.11,overcast clouds
366,Krasnoborsk,RU,61.5598,45.934,31.71,95,4,3.27,clear sky
367,Manakara,MG,-22.1333,48.0167,64.4,88,49,4.25,scattered clouds
368,Leningradskiy,RU,69.3833,178.4167,25.63,82,99,10.78,overcast clouds
369,Taber,CA,49.8167,-112.1518,64.72,26,14,3.56,few clouds
370,Taoudenni,ML,22.6783,-3.9836,98.29,9,2,9.55,clear sky
371,Hervey Bay,AU,-25.2986,152.8535,71.01,57,37,13.18,scattered clouds
372,Windhoek,NA,-22.5594,17.0832,63.23,17,0,3.78,clear sky
373,Bozoum,CF,6.3193,16.3799,68.79,96,99,1.23,overcast clouds
374,Auki,SB,-8.7676,160.7034,83.95,68,56,4.34,broken clouds
375,Caceres,ES,39.522,-6.3748,66.85,41,0,9.75,clear sky
376,Phuket,TH,8.0,98.25,75.42,94,75,10.36,moderate rain
377,Weilheim,DE,47.8333,11.15,53.69,91,67,1.59,broken clouds
378,Aripuana,BR,-9.1667,-60.6333,86.76,43,77,0.76,broken clouds
379,Sabang,ID,5.8933,95.3214,82.09,77,66,19.8,broken clouds
380,Calama,CL,-22.4667,-68.9333,62.35,15,96,9.69,overcast clouds
381,Pailitas,CO,8.9565,-73.6255,78.51,90,88,1.61,overcast clouds
382,Boueni,YT,-12.9025,45.0761,76.98,78,2,7.87,clear sky
383,Andra,RU,62.5147,65.8878,33.55,89,100,8.48,overcast clouds
384,Bethel,US,41.3712,-73.414,69.91,72,14,5.46,few clouds
385,Surt,LY,31.2089,16.5887,82.78,55,0,10.8,clear sky
386,Trincomalee,LK,8.5711,81.2335,79.36,84,99,12.68,overcast clouds
387,Znamenskoye,RU,57.1281,73.8282,36.43,95,100,10.02,overcast clouds
388,Hefei,CN,31.8639,117.2808,68.65,88,0,7.9,light rain
389,Baruun-Urt,MN,46.6806,113.2792,51.4,86,100,3.83,overcast clouds
390,Savalou,BJ,7.9281,1.9756,75.0,90,92,4.07,overcast clouds
391,Ziarat,PK,30.3823,67.7282,61.21,55,0,2.28,clear sky
392,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,11.5,scattered clouds
393,Mar Del Plata,AR,-38.0023,-57.5575,50.02,81,0,8.05,clear sky
394,Mehamn,NO,71.0357,27.8492,41.68,70,17,18.7,few clouds
395,Wanning,CN,18.8003,110.3967,78.35,91,79,2.82,light rain
396,Tuy Hoa,VN,13.0833,109.3,75.43,91,100,7.23,overcast clouds
397,Karwar,IN,14.8,74.1333,76.77,90,100,4.25,light rain
398,Vila Do Maio,CV,15.1333,-23.2167,81.39,88,81,10.33,broken clouds
399,Wamba,NG,8.9333,8.6,72.7,90,70,3.18,light rain
400,Antalaha,MG,-14.9003,50.2788,69.4,75,92,7.16,overcast clouds
401,Norrtalje,SE,59.758,18.705,39.29,59,100,2.21,overcast clouds
402,Gravelbourg,CA,49.8834,-106.5512,60.6,31,9,16.33,clear sky
403,Katsuura,JP,35.1333,140.3,71.71,72,74,8.23,broken clouds
404,Dwarka,IN,22.2394,68.9678,81.64,86,62,17.81,broken clouds
405,Muros,ES,42.7762,-9.0603,59.5,78,1,14.52,clear sky
406,Yushu,CN,44.8,126.5333,55.0,97,100,10.49,overcast clouds
407,Vao,NC,-22.6667,167.4833,69.93,65,96,17.85,overcast clouds
408,Banning,US,33.9256,-116.8764,93.61,16,0,5.41,clear sky
409,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.17,86,3,17.2,clear sky
410,Walvis Bay,NA,-22.9575,14.5053,54.93,83,0,6.11,clear sky
411,Nazret,ET,8.55,39.2667,66.31,61,99,2.68,overcast clouds
412,Erdenet,MN,49.0333,104.0833,48.09,77,57,2.57,broken clouds
413,Tiarei,PF,-17.5333,-149.3333,82.42,73,12,13.18,few clouds
414,Clemencia,CO,10.5665,-75.325,83.57,85,96,6.24,overcast clouds
415,Ust-Kuyga,RU,70.0167,135.6,32.32,63,100,6.35,overcast clouds
416,Killin,US,33.6123,-91.7412,89.55,58,1,4.61,clear sky
417,Ningxiang,CN,37.34,111.2052,55.0,57,0,2.37,clear sky
418,Fortuna,US,40.5982,-124.1573,70.14,55,1,13.8,clear sky
419,Sovkhoznyy,RU,45.2946,38.1138,63.05,91,40,4.83,scattered clouds
420,Johi,PK,26.6921,67.6133,91.63,48,56,9.69,broken clouds
421,Dubai,AE,25.2582,55.3047,87.44,69,6,4.7,clear sky
422,Feltre,IT,46.0235,11.907,57.63,94,98,1.3,moderate rain
423,Bantry,IE,51.6833,-9.45,56.68,90,100,2.28,overcast clouds
424,Ust-Kan,RU,50.9276,84.761,25.83,83,39,6.17,scattered clouds
425,Tinskoy,RU,56.1525,96.9161,35.69,93,23,5.97,few clouds
426,Atakpame,TG,7.5333,1.1333,72.25,92,86,3.04,overcast clouds
427,Wildeshausen,DE,52.9,8.4333,44.37,78,100,4.94,overcast clouds
428,Aracati,BR,-4.5617,-37.7697,78.64,78,45,15.46,scattered clouds
429,Andenes,NO,69.3143,16.1194,46.38,57,36,17.27,scattered clouds
430,Corinth,GR,37.9407,22.9573,82.51,63,78,7.87,broken clouds
431,Akdepe,TM,42.0551,59.3788,53.6,21,0,10.65,clear sky
432,San Quintin,MX,30.4833,-115.95,73.72,63,1,8.63,clear sky
433,Haimen,CN,23.1935,116.6142,79.9,88,12,5.14,few clouds
434,Hovd,MN,48.0056,91.6419,44.87,26,1,7.54,clear sky
435,Vozrozhdeniye,RU,44.5503,38.2136,61.27,91,20,1.23,few clouds
436,Mollendo,PE,-17.0231,-72.0147,60.26,82,99,4.05,overcast clouds
437,Warrington,GB,53.3925,-2.5802,57.31,88,40,6.91,scattered clouds
438,Akureyri,IS,65.6835,-18.0878,41.99,89,98,4.7,overcast clouds
439,Caarapo,BR,-22.6342,-54.8222,86.63,17,0,4.45,clear sky
440,Aksarka,RU,66.5606,67.7975,36.23,96,96,11.41,overcast clouds
441,Qeshm,IR,26.9581,56.2719,85.5,78,18,2.26,few clouds
442,Port-Gentil,GA,-0.7193,8.7815,76.91,83,93,10.02,overcast clouds
443,Mwense,ZM,-10.3845,28.698,70.29,30,0,3.91,clear sky
444,Inhambane,MZ,-23.865,35.3833,67.42,77,3,9.71,clear sky
445,Bara,NG,10.3744,10.7288,77.74,75,99,4.63,overcast clouds
446,Sorland,NO,67.667,12.6934,46.92,83,100,23.02,light rain
447,Darhan,MN,49.4867,105.9228,50.58,86,60,5.66,broken clouds
448,Pangody,RU,65.85,74.4859,35.02,97,100,12.97,light rain
449,Tsabong,BW,-26.0217,22.401,53.37,33,0,11.95,clear sky
450,Aliwal North,ZA,-30.6937,26.7114,47.46,43,0,3.89,clear sky
451,Omboue,GA,-1.5746,9.2618,74.93,84,96,7.43,overcast clouds
452,Ojinaga,MX,29.5667,-104.4167,99.55,19,75,10.36,broken clouds
453,Tala,EG,30.6803,30.9429,72.66,84,0,5.55,clear sky
454,Tongchuan,CN,35.0806,109.0897,62.87,43,0,6.55,clear sky
455,Kauhajoki,FI,62.4333,22.1833,30.18,92,5,4.34,clear sky
456,Vilhena,BR,-12.7406,-60.1458,83.28,29,27,3.04,scattered clouds
457,Abadan,IR,30.3392,48.3043,71.55,18,0,11.5,clear sky
458,San Vicente,AR,-26.6167,-54.1333,74.55,52,13,1.9,few clouds
459,Nome,US,64.5011,-165.4064,37.47,60,90,17.27,overcast clouds
460,Laguna,US,38.421,-121.4238,91.69,17,1,3.44,clear sky
461,Belawan,ID,3.7755,98.6832,75.49,89,100,3.6,overcast clouds
462,Krasnokamensk,RU,50.0979,118.0369,48.87,81,100,3.76,overcast clouds
463,Rantepao,ID,-2.9701,119.8978,67.1,99,100,0.69,heavy intensity rain
464,Erenhot,CN,43.6475,111.9767,54.43,70,54,7.02,broken clouds
465,Santiago Del Estero,AR,-27.7951,-64.2615,70.97,51,100,13.47,overcast clouds
466,Berzunti,RO,46.4,26.6333,46.22,86,100,4.0,overcast clouds
467,Baiyin,CN,36.5583,104.2081,58.42,32,0,2.77,clear sky
468,Carnot,CF,4.9409,15.8665,70.0,97,100,1.5,light rain
469,Palaikastron,GR,35.2,26.25,80.08,51,0,5.06,clear sky
470,Vicuna,CL,-30.0319,-70.7081,49.73,35,0,2.42,clear sky
471,Bogale,MM,16.2833,95.4,75.96,94,100,5.5,overcast clouds
472,Unidad,PH,8.535,126.2306,75.81,93,58,1.97,broken clouds
473,Kilakarai,IN,9.2333,78.7833,83.34,73,34,6.8,scattered clouds
474,Namtsy,RU,62.7161,129.6658,35.71,77,8,3.06,clear sky
475,Cooma,AU,-36.2333,149.1333,37.17,93,90,19.57,overcast clouds
476,Otane,NZ,-39.8833,176.6333,61.18,48,29,4.03,scattered clouds
477,Mersing,MY,2.4312,103.8405,76.77,85,91,5.66,overcast clouds
478,Puteyets,RU,65.1716,57.091,35.44,88,100,7.05,overcast clouds
479,Imbituba,BR,-28.24,-48.6703,71.49,94,11,6.4,few clouds
480,Najran,SA,17.4924,44.1277,76.15,20,16,3.22,few clouds
481,Kuito,AO,-12.3833,16.9333,67.64,40,47,2.64,scattered clouds
482,Kushima,JP,31.4583,131.2333,75.83,89,15,4.85,few clouds
483,Hirara,JP,24.8,125.2833,83.25,77,15,5.91,few clouds
484,Cayenne,GF,4.9333,-52.3333,78.84,89,0,0.0,clear sky
485,Southampton,GB,50.904,-1.4043,54.16,83,42,4.18,scattered clouds
486,Orlik,RU,52.5178,99.825,33.8,80,11,2.44,few clouds
487,Woodstock,CA,43.1334,-80.7497,70.48,82,100,7.72,light rain
488,Leh,IN,34.1667,77.5833,56.48,53,82,5.1,broken clouds
489,Kulachi,PK,31.9286,70.4592,90.63,43,0,5.37,clear sky
490,Gediz,TR,39.0417,29.41,66.22,46,0,3.91,clear sky
491,Coquimbo,CL,-29.9533,-71.3436,56.93,76,0,9.22,clear sky
492,Yatou,CN,37.15,122.3833,67.5,85,5,10.56,clear sky
493,Sleaford,GB,52.9983,-0.4094,57.81,93,20,3.44,few clouds
494,Touba,CI,8.2833,-7.6833,71.17,94,13,2.66,few clouds
495,Usinsk,RU,65.9939,57.5281,35.31,89,100,12.17,overcast clouds
496,Talnakh,RU,69.4865,88.3972,31.41,85,87,4.21,overcast clouds
497,Stornoway,GB,58.2093,-6.3865,53.56,87,90,6.91,overcast clouds
498,Aberdeen,GB,57.1437,-2.0981,55.89,76,75,4.61,broken clouds
499,Port Macquarie,AU,-31.4333,152.9167,59.54,46,55,14.56,broken clouds
500,Chokwe,MZ,-24.5333,32.9833,70.83,46,9,10.25,clear sky
501,Jumla,NP,29.2747,82.1838,59.4,93,98,0.83,overcast clouds
502,Ponta Delgada,PT,37.7333,-25.6667,68.72,77,20,8.05,few clouds
503,Cananeia,BR,-25.0147,-47.9267,70.43,95,17,4.76,few clouds
504,Mahibadhoo,MV,3.7833,72.9667,82.49,75,17,11.92,few clouds
505,Madimba,TZ,-10.4,40.3333,70.3,87,3,5.41,clear sky
506,Nouakchott,MR,18.0858,-15.9785,87.73,68,5,22.39,clear sky
507,Ouallam,NE,14.3188,2.0866,88.5,45,91,13.31,overcast clouds
508,Salalah,OM,17.0151,54.0924,79.41,83,16,4.5,few clouds
509,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,85,16,9.91,few clouds
510,Coacoyul,MX,17.8058,-99.11,76.87,66,44,3.29,scattered clouds
511,Novoselitskoye,RU,44.7508,43.4369,60.67,73,94,3.6,overcast clouds
512,Azanka,RU,58.0401,64.7893,30.24,98,97,5.08,overcast clouds
513,Krasnaya Polyana,RU,56.242,51.1442,34.18,86,95,5.48,overcast clouds
514,Mumford,GH,5.2618,-0.759,76.37,90,74,11.1,light rain
515,Hohhot,CN,40.8106,111.6522,55.4,64,1,0.63,clear sky
516,Gat,IL,31.61,34.7642,75.88,71,0,5.23,clear sky
517,Bokhan,RU,53.153,103.7714,40.73,85,98,12.06,overcast clouds
518,Rozivka,UA,46.9385,35.7724,54.95,63,98,6.42,overcast clouds
519,Oistins,BB,13.0667,-59.5333,82.49,74,40,11.5,scattered clouds
520,Manadhoo,MV,5.7667,73.3833,82.27,74,53,10.4,broken clouds
521,Kodinsk,RU,58.6881,99.1844,33.6,97,31,4.83,scattered clouds
522,Maceio,BR,-9.6658,-35.7353,74.64,88,0,3.44,clear sky
523,Saint Anthony,US,45.0205,-93.218,62.8,85,90,16.11,overcast clouds
524,Gbarnga,LR,6.9956,-9.4722,71.01,99,59,2.17,broken clouds
525,Cochrane,CA,51.1834,-114.4687,60.67,27,28,6.82,scattered clouds
526,Cristalina,BR,-16.7686,-47.6136,77.27,26,42,5.39,scattered clouds
527,San Juan,AR,-31.5375,-68.5364,58.62,34,0,14.41,clear sky
528,Natal,BR,-5.795,-35.2094,77.65,78,0,8.05,clear sky
529,Setermoen,NO,68.861,18.3486,30.16,83,3,7.94,clear sky
530,Galesong,ID,-5.3166,119.3661,75.22,75,100,5.5,overcast clouds
531,Pemba,MZ,-12.974,40.5178,74.03,72,0,5.32,clear sky
532,Crotone,IT,39.0851,17.1178,76.1,56,85,7.63,overcast clouds
533,Murgab,TM,37.4966,61.9714,67.28,22,0,7.58,clear sky
534,Quatre Cocos,MU,-20.2078,57.7625,68.22,74,35,16.53,scattered clouds
535,Abha,SA,18.2164,42.5053,66.45,21,0,0.0,clear sky
536,Kita,ML,13.0349,-9.4895,77.95,79,93,3.58,overcast clouds
537,Mtwara,TZ,-10.2667,40.1833,70.11,87,6,6.26,clear sky
538,Murfreesboro,US,35.8456,-86.3903,73.74,78,40,11.5,scattered clouds
539,Krasne,UA,49.9145,24.6134,43.95,91,100,12.84,overcast clouds
540,Ormara,PK,25.2088,64.6357,80.58,87,9,19.53,clear sky
541,Husavik,IS,66.0449,-17.3389,40.84,93,100,16.17,overcast clouds
542,Talagang,PK,32.9297,72.4158,86.76,56,67,7.16,broken clouds
543,Yenagoa,NG,4.9247,6.2642,75.74,93,100,4.09,overcast clouds
544,General Roca,AR,-39.0333,-67.5833,61.2,27,0,6.85,clear sky
545,Naron,ES,43.5167,-8.1528,61.65,88,7,6.42,clear sky
546,Jardim,BR,-21.4803,-56.1381,88.59,16,4,1.88,clear sky
547,Mana,GF,5.6592,-53.7767,80.76,83,52,10.13,broken clouds
